names	scores	logfoldchanges	pvals	pvals_adj
Mrpl42	5.5877533	1.4714038	2.300261920351868e-08	1.3424204228691318e-06
Atp5g1	5.5693607	1.096674	2.556758383725496e-08	1.4880885115844916e-06
Ass1	5.5652595	3.5754461	2.6176249823961615e-08	1.5194187162602235e-06
Sgk1	5.5476127	1.5684469	2.8959669722995685e-08	1.6764776094601764e-06
Ndufa11	5.5416474	1.0781115	2.9963919541639314e-08	1.729975707654058e-06
Ndufb5	5.536925	1.0317569	3.0782834183191745e-08	1.7725166360470916e-06
Txndc17	5.532575	0.88886887	3.155627840087163e-08	1.8122199986968645e-06
Slc39a10	5.529717	2.7610998	3.2074771616058005e-08	1.8371101949749083e-06
Ctsd	5.5284743	0.89938515	3.2302772457735104e-08	1.8404057141949186e-06
Psma7	5.5284743	0.75870776	3.2302772457735104e-08	1.8404057141949186e-06
Sdhb	5.5230064	1.3402239	3.3324791609801245e-08	1.893637434816943e-06
Metap2	5.4730477	1.3441643	4.423605051480126e-08	2.5004948658798524e-06
Prmt1	5.4710593	1.3604504	4.47353067737526e-08	2.522113522625692e-06
Ubqln1	5.459378	1.0706027	4.7780633871633724e-08	2.679810979714771e-06
Pdcd5	5.457638	1.339498	4.8251050725020514e-08	2.699183777993181e-06
Rpl26	5.4542823	0.39567256	4.917099363953288e-08	2.743538154156159e-06
Gas5	5.45043	0.58121514	5.0248196260754114e-08	2.796415726439339e-06
Atp5a1	5.445086	0.8636238	5.178032330276482e-08	2.874273833101801e-06
Ndufa2	5.430546	0.9455473	5.618188894741908e-08	3.110603918055436e-06
Taf1d	5.426942	1.1363461	5.732772766167474e-08	3.1659274255717205e-06
Dynll1	5.426445	0.7884568	5.7487540801884566e-08	3.166654256467075e-06
Hnrnpc	5.4090466	0.8835256	6.336116612390994e-08	3.4724813708466676e-06
Ost4	5.406437	1.6425723	6.42909083703939e-08	3.5145154036504193e-06
Cops6	5.3941336	1.5398245	6.885497478874866e-08	3.74505156325806e-06
Selenoh	5.3665447	2.4567173	8.025933231269556e-08	4.321794919271908e-06
Crip2	5.361201	0.9641713	8.267053147863066e-08	4.4405591696966955e-06
Gstp1	5.3590884	1.6038727	8.364301744885234e-08	4.4816468381465726e-06
Ndufb11	5.3559813	0.9039389	8.50932938244056e-08	4.54806805334255e-06
Chchd2	5.3261557	0.63646734	1.003132843104631e-07	5.3483080200390855e-06
Rps12	5.3234215	0.44565615	1.0183345337848677e-07	5.415984627590307e-06
Mrps21	5.3201904	1.6869124	1.0365877500843409e-07	5.499518252474489e-06
Mrpl20	5.3189473	1.2092055	1.0436922032078389e-07	5.523638662712467e-06
Cdc42	5.315468	0.51822376	1.0638362956458502e-07	5.6164834063278344e-06
Ndufa10	5.3020463	1.6943241	1.1451184326232033e-07	6.030863979422641e-06
Cs	5.2958326	1.2400898	1.1847540878886705e-07	6.224427012111938e-06
Sarnp	5.2812924	1.2085493	1.2827579455262184e-07	6.706680948607175e-06
Rnf7	5.272842	1.4765458	1.34327413677302e-07	7.006115564091744e-06
Wdr83os	5.268865	1.3072991	1.3726992307055848e-07	7.125166944381176e-06
Rpl21	5.2447557	0.40892917	1.5648955746681328e-07	8.10330698892302e-06
Rpl17	5.2166696	0.41393945	1.8216873092154034e-07	9.410453126289044e-06
Acsl3	5.213314	2.254551	1.854962773775665e-07	9.536716946223318e-06
Cks1b	5.2116985	2.3006063	1.8711931099243971e-07	9.597309459049289e-06
Eif3m	5.1988983	1.2266077	2.0047306143269197e-07	1.0209468904519146e-05
Ndufs6	5.196413	0.88653517	2.0317071779738712e-07	1.029827537417601e-05
Spcs1	5.196413	0.8311474	2.0317071779738712e-07	1.029827537417601e-05
Tpm1	5.189205	1.2821771	2.1119380581282675e-07	1.067987786631468e-05
Rpl23a	5.1849794	1.9213578	2.1603844596554616e-07	1.0899341504051492e-05
Mlf2	5.1813755	1.3258189	2.2025534895864672e-07	1.1086185897585218e-05
Krt28	5.180754	29.06464	2.2099039478197007e-07	1.1097315336109486e-05
Supt4a	5.175038	2.121312	2.2786496787007793e-07	1.1415982021388847e-05
Chchd1	5.171185	1.4335757	2.3261389480991393e-07	1.1626925533866832e-05
Dct	5.1645985	3.5782542	2.4095538190549276e-07	1.2016049795578071e-05
Ndufa6	5.1499343	0.7297046	2.605777847264458e-07	1.296464540460402e-05
Cav1	5.119984	1.9950098	3.0556140859051613e-07	1.5167787346425322e-05
Ssr2	5.11464	0.9520704	3.143393730284875e-07	1.556772954542232e-05
Eif3d	5.109545	0.88540024	3.229354853271299e-07	1.5905067443814708e-05
Cnih4	5.1092963	1.1820453	3.233605616558448e-07	1.5905067443814708e-05
Ndufv2	5.0947566	1.3272961	3.4918997911953726e-07	1.7097639952671583e-05
Actn4	5.094011	1.0966394	3.505668929704416e-07	1.7126223800703042e-05
Eloc	5.0741267	0.8380947	3.8927937080078563e-07	1.8974513439506465e-05
Phb2	5.056853	1.2675252	4.2623226093855964e-07	2.0649395106247736e-05
Eif3h	5.0567284	0.7924599	4.2650999015359104e-07	2.0649395106247736e-05
Bex3	5.055734	2.416288	4.28738117838291e-07	2.071083261405418e-05
Hist1h1b	5.0424366	4.4130445	4.5964050865965147e-07	2.210471604340279e-05
Ppp1ca	5.0368443	2.700282	4.732689905511538e-07	2.270954958438014e-05
Tbcb	5.032992	1.4698266	4.828833527210508e-07	2.311951271686397e-05
2410015M20Rik	5.0313764	1.0342268	4.869710005518185e-07	2.3263638971051804e-05
Ran	5.0281453	0.8042503	4.952466435852677e-07	2.3606756677564428e-05
Zfas1	5.020316	1.0574789	5.158655104662074e-07	2.448150322526773e-05
Cox5a	4.998568	2.581092	5.775765561236363e-07	2.7307766965729412e-05
Trp53	4.9921055	1.4426587	5.972456201092332e-07	2.809656791943066e-05
Cct4	4.9916086	0.8331134	5.9878508117941e-07	2.8107752734580437e-05
Pebp1	4.983282	1.0689418	6.251467875648604e-07	2.9281550073509826e-05
Clta	4.970109	1.0829755	6.691524257296567e-07	3.1274909802555145e-05
Skp1a	4.9626527	0.74219114	6.953688617847486e-07	3.243002123654012e-05
Gnb2	4.9606643	0.8911388	7.02525368756483e-07	3.269316872318693e-05
